"","rownames.upRegulated_DEGs.","expres"
"1","ANLN",4.93761472020349
"2","REG4",6.61394166687172
"3","SLC44A4",6.60610651141181
"4","ADAM9",7.03922085048685
"5","AP1S3",5.91322977879482
"6","POSTN",9.70309313068196
"7","CD55",10.0539423951961
"8","MTMR11",5.86339076240137
"9","CP",5.88127900462367
"10","S100A11",11.9340065244881
"11","PFKP",8.6183709798159
"12","BHLHE40",6.88143830125886
"13","SLC2A1",6.67257957127224
"14","SDC1",7.75804644606718
"15","SDC1",8.21160187678255
"16","TOP2A",6.90850863265011
"17","TOP2A",6.58360083639094
"18","CLDN4",7.83257968036422
"19","NQO1",7.16421624053435
"20","NQO1",9.18122368644178
"21","KRT19",10.5224010479026
"22","CAPG",9.0406508109204
"23","CEACAM5",8.91015276768893
"24","CD55",10.3049650843409
"25","CD55",9.27784512977206
"26","MX1",8.31214602606785
"27","LY6E",7.44650829792065
"28","LAMC2",7.67156105005807
"29","TACSTD2",11.8108218252476
"30","COL1A1",12.3875730119896
"31","COL1A1",9.81940099805549
"32","COL1A2",13.4301978574595
"33","IFI27",9.49854890159181
"34","AC020907.6",8.81768547449927
"35","TRIM29",7.97733563564989
"36","H2BC21",6.70401551175041
"37","GPX2",9.12330935557327
"38","SLC16A3",6.14787868711476
"39","SLC16A3",8.09374682677583
"40","CXCL8",8.8352418800711
"41","OAS1",6.96229656193294
"42","CDC20",5.08200172248912
"43","HK2",7.47431375910131
"44","FHL2",9.73905760516834
"45","LOXL2",7.55105295338737
"46","SLPI",9.36516215160766
"47","ANXA8L1",6.79695235754585
"48","THBS2",10.4045194230428
"49","GPRC5A",8.77722264077161
"50","S100A4",11.201619023273
"51","CDK1",6.95970539436308
"52","CDH3",6.75533064944259
"53","MET",9.87390271048145
"54","PTTG1",7.1721939887381
"55","AOC1",6.54378545590495
"56","PI3",5.97782265888251
"57","LAMA3",7.73105214631905
"58","CEACAM6",10.781780537137
"59","IGF2BP3",5.41524243452351
"60","IGF2BP3",5.52553223970879
"61","TSPAN8",12.3187031624947
"62","MMP11",6.62558865634432
"63","MMP11",8.02390089242938
"64","WFDC2",7.49486830588551
"65","HEPH",7.42817896380495
"66","CKS2",7.35730651096496
"67","MMP7",11.3788752434608
"68","S100A2",6.09224554434663
"69","LGALS4",9.95735064335104
"70","COL11A1",7.90970683590219
"71","AK4P3",6.95963200401688
"72","S100P",9.39119369615376
"73","KCNN4",6.33898060945627
"74","IFI6",8.38242124012788
"75","IFI44L",7.64385664451212
"76","MMP1",8.50228287948425
"77","UGT1A8",6.78104873866888
"78","CXCL10",6.6506488312224
"79","MMP12",6.53820740784303
"80","DKK1",5.95244710894837
"81","SERPINB2",5.88883509301698
"82","VCAN",9.51208911135154
"83","VCAN",11.1648479016884
"84","COL17A1",4.65075517594894
"85","NEK2",5.22626479142579
"86","TFAP2A",5.69179790074333
"87","KCNK1",7.02912558675119
"88","KCNK1",9.27463023977395
"89","ISG20",7.30868224717235
"90","NFE2L3",6.54648233416009
"91","F5",6.73173386082086
"92","KLK6",5.73255422049732
"93","HOXB7",7.19928296200208
"94","CP",6.09041443587611
"95","MSLN",6.99654892947991
"96","MUC4",4.12805839797615
"97","OAS2",5.88152394537617
"98","ITGB4",8.31101473057928
"99","TFF1",10.2839422333962
"100","ITGA2",7.85067908138385
"101","GABRP",6.49093138256903
"102","SPRR1B",3.9639166295939
"103","MTMR11",7.51580131794168
"104","CRIP1",8.57484904115702
"105","KRT17",8.18911064869827
"106","HCAR2",4.61005965644604
"107","SULT1C2",6.37526540626971
"108","INPP4B",6.23592565140055
"109","MST1R",6.07278474687224
"110","HS3ST1",8.73695917760472
"111","CCL20",7.37596164314421
"112","PLAU",9.00264925747881
"113","ISG15",8.86829576425717
"114","GJB3",5.63342158943974
"115","TCN1",9.30230936247145
"116","CORO2A",6.16300709200081
"117","OAS1",7.16343233643279
"118","SLC44A4",7.80840404092804
"119","WNT2",5.98690722824054
"120","OASL",4.8361623824703
"121","BCL2A1",7.40961345346789
"122","COMP",7.24608615011278
"123","KLK7",5.56254432801493
"124","BIK",6.87119013470472
"125","UBD",9.31326898704554
"126","CTSE",10.0961359488412
"127","COL10A1",9.21241389112413
"128","ADAM28",7.49658093976491
"129","NMU",5.943946243674
"130","PTPRR",4.658978148119
"131","UGT1A8",6.5850268984264
"132","CST1",7.06064608633934
"133","PTK6",6.65355491392833
"134","MIA-RAB4B",5.58406580237525
"135","CEACAM1",5.60996731520474
"136","HOXC6",6.83521517094231
"137","SCEL",5.43113606747257
"138","UGT1A8",6.65060832898408
"139","CDH11",7.77817410393151
"140","CDH11",10.2952295913981
"141","LAMC2",6.75857857596451
"142","MUC1",9.78290620370283
"143","CXCL3",7.13648293528367
"144","ITGB6",6.46686459687679
"145","ITGB6",6.03138744747543
"146","CYP2C18",5.91225174638816
"147","DMBT1",7.64388658815687
"148","PPARG",6.84720873677991
"149","UGT1A8",6.36531235563922
